Let’s stop pretending. And I’ve been saying this since 2015: #Trump is Hitler,-2
President Donald Trump en route to speak at a campaign rally in Coachella Valley #Trump2024 #Trump #TrumpRally #CoachellaRally Nothing can stop what's coming! ,0
#Trump knew he was being filmed. Watch him make the ped0 swirl and immediately turn it into a pistol aimed at Epstein,-2
"I'm Susan, I'm 42 & I am Voting for President 
@realDonaldTrump
 in November! ?????????

Who's with me? ?? 

?? #TRUMP ???? #MAGA ???? ??",1
"#Trump said 
“From the very beginning of this journey, I have been on a mission to rescue our nation from a failed and corrupt political establishment. 

I will NEVER QUIT, I will NEVER BEND, I will NEVER BREAK, and I will NEVER YIELD, not even in the face of death itself! ”",2
#Trump/Vance 2024 to SAVE America! ????,1
"Conservative’ candidate Donald #Trump: ""Where are the #gays for Trump?"" 'We did great with gay population as you know'",0
"#Trump could easily send #Bitcoin to 100k ??

Bullish ??",1
"Black Americans are increasingly leaning towards #Trump.
They are seeing through fake, woke Democrat agenda which infantilises them, keeps them poor and unsafe.
No wonder Obama has taken to lecturing them, shaming them to vote Kamala Harris.
Utter panic.",-1
"""Why does [#Trump's] staff want him to hide away?""

This is 14 year old ""I know you are, but what am I?"" level of projection.

Obama must have written her this, after sparking one of the worst political backlashes in history, for his comments about black men not voting for her.",-1
"For all the confused Democrats out there ...

These are #Women: ???? 

?? #VOTE ?? #TRUMP ???? #MAGA ??",0
How many of you realize #Democrats and their mainstream media allies pulled off a coup? The #American people & #Trump were the immediate victims. The impact was worldwide. #Democrats violated the law by using career bureaucrats in alphabet agencies & trusted government & military,
I believe hatred of Donald J. Trump has led #BillBarr and #ChrisChristie to turn blind eyes towards the #DOJ and #FBI's selective prosecution of the #January6th protesters. These men have seemingly cheered the #ElectionInterference costing #Trump and his associates millions of dollars in legal costs. It just ain't right! #Elections2024,-1
Vote #Trump because OUR LIVES do depend on it. #Trump2024 ????,1
"#Trump is shown ahead in the polls on a crypto-based prediction platform, but that doesn't seem to be the case. It is beneficial to focus on reality rather than perception. #US elections will be on November 5th. Unless we face an absurd event like a recession or war, we are now entering the phase where the #crypto market should rise. ??",0
You never see a “rally” even 1% as packed out and patriotic for a Democrat like you do with President Trump. America loves Trump and God. ???? ???? #Trump #CoachellaRally,1
#Trump has gained a 10 point lead over Kamala Harris,0
"I am:
An immigrant,
A Gulf War veteran,
A 9/11 first responder,
A retired police officer,
&
I'm voting for #Trump.

Let's Make America Great Again!",2
I was leaving Denver International Airport this afternoon and ran into the Trump motorcade. Security was definitely heavy. #Trump,0
"JUST IN:????

INITIAL JOBLESS CLAIMS RISE 258,000; EST. 231,000; PREV. 225,000

HIGHEST IN OVER 1 YEAR. 

WE NEED #TRUMP",-1
"?? #Trump really really DOESN'T want you to see this movie!

Probably because it shows him RAPING his first wife.",-2
"My support for #Trump is absolutely, unequivocally, unshakeable.

How about you?",1
"The democrats can't close a border, think they did anything good? ??

#Trump",-1
"Only the stupid, fantasists, conspiracy believers & deluded will vote for #Trump, surely? #Kamala4President2024",-3
"This is a terrifying moment. If Trump wins the election, he will cut off military aid to Ukraine. Unfortunately Ukraine is totally dependent on the US to hold Putin at bay. If Putin wins in Ukraine, he will then move on to the Baltics who are our NATO allies. Then Trump will have to decide whether to honor our treaty obligations. Based on his previous disdain for NATO, that’s highly uncertain. If NATO is no more, we should brace ourselves for a world of hurt.",-1
"Eventually Harris policies will affect them.  They are just too blind with the hate Obama instilled in this country to see it.  #Communism 

Here’s the thing, they are not going to take the rest of us down with them. We’re not going back to the last four years.  #TRUMP Nov 5.",-1
"During his four years in office,  Trump continuously attacked Obamacare, i.e. the ACA.  Trump said he had a health plan - he didn’t.  The ACA is a success - 45 million people are insured under it - Trump has a concept … #trump #health #election",-1
"WATCH: “Absolute chaos… all of us are stranded here… the parking lot is a 2 hour walk…” MAGA faithful were stranded after Trump’s Coachella rally last night, including many elderly folks. Bussed in but not bussed out.",-2
Come join the foul mouthed Clown world commentator Salty Cracker #Trump,-2
Done! I received my ballot on Friday & mailed it back on Saturday! #Trump #KariLake #Arizona #MaricopaCounty #MAGA ??????????,1
"Signs of #Trump's dementia have been showing for quite some time. Perhaps the news media is finally going to start reporting on it...

#TrumpDementia #MAGA",-1
Do you think the Middle East will respect #harris as our leader? NO.  ONLY TRUMP can save American and end WWIII,-1
Donald Trump called Kamala a “retard” do you agree?  #Trump #Harris,-2
"Fixing Social Security means raising taxes — and not just on the superrich https://msn.com/en-us/money/retirement/fixing-social-security-means-raising-taxes-and-not-just-on-the-superrich/ar-AA1sblWF

#harris admin spent all our $ on #ukraine.",0
"I notice Democrats don't ask why black men are voting for #Trump they don't 
ask them what their concerns are about #Harris 
Why don't they want to vote for her.
They belittle and try to guilt instead",-1
"after 1y of #genocide,#Harris out of a sudden discovers""hum'n law""+says after 14days of nothing,#israel must do more of that;10 times nothing? maybe wearing a headscarf would help,keeps the warmth of the head from flying away -#Marandi's boss wears 1.#gaza",-2
"USA needs to back door Israel. Give up nehtanyu and the other radical Israel government officials. Let them get wiped out. Cuz lots of Israel and Jews are against all this shit. Their government is like ours. They don’t do what the ppl want
#usa #trump #Israel #Patriot #Harris",-1
"“It was #fake from the get-go, and not only is it exposing Kamala #Harris”; it is exposing the #media as “sycophants and stenographers for the left,” #Stefanik said, referencing the lack of substance in Harris’s recent interviews.",-1
"The entrenched Hezbollah presence in southern Lebanon can only be effectively neutralized through a sustained B-52 carpet bombing operation, according to many senior military strategists. #IDF #Haifa #TelAviv  #Netanyahu #Pentagon #Biden #Harris",0
"He’s absolutely right. #Harris has been MIA for 3.5 years, and now she suddenly wants to get involved? Get out of here—we see right through you!",-1
The woman is a moron. A despicable lowlife who has done nothing for this country. Drinking beer and talking like an idiot on a talk show #Harris #HarrisForAmerica #MentalHealthAwareness,-2
"Great points brilliant 
@ninaturner
 abt #Harris & need to speak to voter concerns, especially in swing states. Kudos for correcting #Obama abt singling out BlackMen, who vote Dem in serious majority. Why nobody talking to WyteWomen? Majority voted for Trump twice & dumped Hillary.",0
"It's absolutely clear: 1) Iran & Putin work in cahoots, 2) US Democrats strongly favour Iran over Israel.
#USA #Russia #Iran #Israel #Putin #Biden #Harris",0
